               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10587,            0.024575,                   0,            0.027804,                0.43,            0.022953,           0.0036975,            0.076762,            0.039313,                   0,             0.00058,             0.00058,             0.09478
                   1,            0.075426,            0.022369,                   0,             0.27285,             0.36397,             0.22346,            0.049226,            0.058417,            0.040754,                   0,            0.001163,            0.001163,            0.089463
                   2,            0.058903,            0.021175,                   0,             0.32749,               0.485,             0.32964,            0.060981,            0.049929,            0.043509,                   0,           0.0017389,           0.0017389,            0.084139
                   3,            0.053384,            0.019576,                   0,             0.29609,                0.51,             0.30778,            0.054688,            0.048852,            0.038887,                   0,           0.0023077,           0.0023077,            0.078808
                   4,            0.049569,            0.017049,                   0,             0.41187,               0.485,             0.46285,            0.087474,            0.042368,            0.036244,                   0,           0.0028694,           0.0028694,            0.073469
                   5,            0.045872,            0.015895,                   0,             0.74005,               0.685,             0.75808,             0.24282,             0.03759,            0.032409,                   0,           0.0034241,           0.0034241,            0.068124
                   6,            0.044667,            0.015038,                   0,             0.70237,               0.875,               0.746,             0.36115,            0.031743,            0.032746,                   0,           0.0039717,           0.0039717,            0.062772
                   7,            0.041535,            0.013694,                   0,             0.77793,                0.79,             0.80697,             0.22515,             0.03987,            0.025983,                   0,           0.0045122,           0.0045122,            0.057412
                   8,             0.04492,            0.013084,                   0,             0.73008,                0.84,             0.76664,             0.31808,            0.036742,            0.027521,                   0,           0.0050456,           0.0050456,            0.052046
                   9,            0.043834,            0.013047,                   0,              0.8832,             0.86961,             0.91068,             0.46656,            0.029605,            0.027019,                   0,           0.0055719,           0.0055719,            0.046672
                  10,            0.040386,             0.01239,                   0,              0.7768,             0.90488,              0.8562,             0.45269,            0.028792,            0.026321,                   0,           0.0060912,           0.0060912,            0.041291
                  11,              0.0409,            0.011713,                   0,             0.84576,             0.90478,             0.90371,             0.42308,            0.031286,            0.024377,                   0,           0.0066034,           0.0066034,            0.035903
                  12,            0.038714,              0.0113,                   0,             0.86424,             0.85944,             0.86622,             0.45302,            0.029237,              0.0246,                   0,           0.0071085,           0.0071085,            0.030508
                  13,            0.038098,            0.011353,                   0,             0.85435,             0.87989,             0.88392,             0.48774,            0.030599,            0.023891,                   0,           0.0076065,           0.0076065,            0.025107
                  14,            0.040306,            0.010999,                   0,             0.84174,               0.905,             0.86515,             0.51497,            0.029659,             0.02429,                   0,           0.0080974,           0.0080974,            0.019697
                   0,             0.10564,            0.024407,                   0,            0.065104,                0.18,            0.032702,           0.0050416,             0.08183,            0.036894,                   0,             0.00058,             0.00058,             0.09478
                  15,            0.039139,            0.010934,                   0,             0.87861,                0.87,             0.90489,             0.50545,            0.027193,            0.025098,                   0,           0.0085813,           0.0085813,            0.014281
                  16,            0.037629,            0.011183,                   0,             0.92972,             0.85981,             0.91109,             0.53712,             0.02828,            0.024517,                   0,             0.00904,             0.00904,             0.00904
                  17,            0.037041,             0.01091,                   0,             0.88544,                0.89,             0.91537,             0.52632,            0.027307,            0.023256,                   0,             0.00904,             0.00904,             0.00904
                  18,            0.034809,            0.010813,                   0,             0.87618,               0.815,             0.89846,             0.50225,            0.027337,            0.024692,                   0,             0.00898,             0.00898,             0.00898
                  19,             0.03471,            0.010668,                   0,             0.79357,             0.86496,             0.87564,             0.37842,            0.032338,            0.024688,                   0,             0.00892,             0.00892,             0.00892
                  20,             0.03464,            0.010811,                   0,             0.83149,                0.89,             0.88299,             0.52269,            0.026929,            0.024598,                   0,             0.00886,             0.00886,             0.00886
                  21,            0.033458,            0.010317,                   0,             0.85697,                 0.9,             0.91339,             0.52597,            0.027409,            0.024699,                   0,              0.0088,              0.0088,              0.0088
                  22,             0.03396,            0.010546,                   0,             0.86511,                0.93,              0.9265,             0.47325,             0.02706,            0.022997,                   0,             0.00874,             0.00874,             0.00874
                  23,            0.032712,            0.010422,                   0,             0.84215,               0.935,             0.93411,             0.57123,            0.024833,            0.022059,                   0,             0.00868,             0.00868,             0.00868
                  24,            0.032294,            0.010215,                   0,             0.90256,             0.87998,             0.91909,             0.58473,            0.023248,            0.020948,                   0,             0.00862,             0.00862,             0.00862
                  25,            0.030945,           0.0098895,                   0,             0.88918,               0.925,             0.93361,             0.58645,            0.022717,            0.020952,                   0,             0.00856,             0.00856,             0.00856
                  26,             0.03152,           0.0096138,                   0,             0.85847,             0.90984,             0.91452,             0.55488,            0.026638,            0.022758,                   0,              0.0085,              0.0085,              0.0085
                  27,            0.031576,            0.010046,                   0,             0.85908,             0.94489,             0.94128,             0.50049,            0.025987,            0.022058,                   0,             0.00844,             0.00844,             0.00844
                  28,            0.030964,           0.0099172,                   0,             0.87555,             0.91463,             0.92178,             0.54131,            0.025495,            0.021929,                   0,             0.00838,             0.00838,             0.00838
                  29,            0.030604,           0.0095415,                   0,             0.89511,                0.94,             0.95728,              0.5519,            0.026355,            0.020185,                   0,             0.00832,             0.00832,             0.00832
                  30,            0.030419,           0.0096934,                   0,             0.86784,                0.92,             0.94446,             0.57444,            0.024714,            0.021845,                   0,             0.00826,             0.00826,             0.00826
                  31,              0.0305,           0.0096757,                   0,             0.84074,             0.92383,             0.93725,             0.56147,            0.025552,            0.022055,                   0,              0.0082,              0.0082,              0.0082
                  32,            0.029622,           0.0096767,                   0,             0.87084,               0.945,             0.94346,             0.60636,             0.02361,            0.022151,                   0,             0.00814,             0.00814,             0.00814
                   1,            0.074694,            0.022508,                   0,             0.25273,               0.465,             0.21031,             0.04943,            0.052918,            0.043216,                   0,            0.001163,            0.001163,            0.089463
                  33,            0.029126,           0.0093004,                   0,               0.866,               0.905,             0.91683,             0.57501,            0.024195,            0.022517,                   0,             0.00808,             0.00808,             0.00808
                  34,            0.029381,           0.0091477,                   0,              0.8942,             0.92967,             0.95113,             0.61667,            0.023435,            0.020673,                   0,             0.00802,             0.00802,             0.00802
                  35,            0.029352,           0.0088219,                   0,             0.95154,               0.885,             0.96826,             0.62877,            0.023431,            0.020159,                   0,             0.00796,             0.00796,             0.00796
                  36,            0.028553,           0.0092363,                   0,             0.90287,                0.93,             0.95207,             0.60471,            0.025108,            0.020946,                   0,              0.0079,              0.0079,              0.0079
                  37,             0.02904,           0.0091676,                   0,             0.89646,                0.91,             0.94989,              0.6492,            0.022538,            0.021149,                   0,             0.00784,             0.00784,             0.00784
                  38,            0.029205,           0.0091309,                   0,             0.87704,                0.93,             0.94243,             0.64397,            0.021342,            0.021127,                   0,             0.00778,             0.00778,             0.00778
                  39,            0.027911,           0.0089556,                   0,             0.87902,             0.94454,             0.95225,             0.64064,            0.022141,            0.021056,                   0,             0.00772,             0.00772,             0.00772
                  40,            0.027803,           0.0086163,                   0,             0.89992,               0.945,             0.95066,             0.63023,            0.022402,            0.021449,                   0,             0.00766,             0.00766,             0.00766
                  41,            0.028261,            0.008975,                   0,             0.84534,                0.93,             0.93061,             0.59543,            0.022514,            0.021189,                   0,              0.0076,              0.0076,              0.0076
                  42,            0.027535,           0.0088301,                   0,             0.91987,             0.91843,             0.94812,             0.61452,            0.023342,            0.022372,                   0,             0.00754,             0.00754,             0.00754
                  43,            0.028094,           0.0089017,                   0,             0.88148,                0.93,             0.93698,             0.60015,            0.023662,            0.021059,                   0,             0.00748,             0.00748,             0.00748
                  44,            0.027939,           0.0090368,                   0,             0.94845,             0.91987,             0.96588,             0.62317,            0.023297,            0.019873,                   0,             0.00742,             0.00742,             0.00742
                  45,            0.027771,            0.008829,                   0,             0.87417,                0.94,             0.95067,             0.61612,            0.022323,            0.020894,                   0,             0.00736,             0.00736,             0.00736
                  46,            0.027168,           0.0088584,                   0,             0.89796,               0.925,             0.95495,             0.63682,            0.022538,            0.020452,                   0,              0.0073,              0.0073,              0.0073
                  47,            0.027131,           0.0084158,                   0,             0.91725,               0.945,             0.96672,             0.61755,             0.02279,            0.021754,                   0,             0.00724,             0.00724,             0.00724
                  48,            0.027381,           0.0086479,                   0,             0.88784,             0.94992,             0.95603,             0.61922,            0.022527,            0.021129,                   0,             0.00718,             0.00718,             0.00718
                  49,            0.026897,           0.0085878,                   0,             0.91289,                 0.9,             0.94702,             0.60817,            0.024185,             0.02251,                   0,             0.00712,             0.00712,             0.00712
                  50,            0.027181,              0.0085,                   0,              0.9073,             0.92984,             0.94995,             0.58321,            0.023109,            0.021275,                   0,             0.00706,             0.00706,             0.00706
                  51,            0.026798,           0.0084707,                   0,             0.89147,             0.94463,              0.9595,             0.63368,            0.022527,            0.020773,                   0,               0.007,               0.007,               0.007
                  52,            0.026557,           0.0082397,                   0,             0.92039,             0.92494,             0.95968,              0.6373,            0.022367,            0.019524,                   0,             0.00694,             0.00694,             0.00694
                  53,            0.026163,           0.0082685,                   0,             0.92263,                 0.9,             0.95169,             0.62785,            0.022672,            0.021694,                   0,             0.00688,             0.00688,             0.00688
                  54,             0.02587,           0.0082487,                   0,             0.89697,             0.91409,             0.94243,             0.63768,            0.023892,            0.021408,                   0,             0.00682,             0.00682,             0.00682
                  55,            0.025361,           0.0082115,                   0,             0.91584,               0.925,             0.95762,             0.62234,            0.022301,            0.020259,                   0,             0.00676,             0.00676,             0.00676
                  56,            0.025173,           0.0083867,                   0,             0.90476,             0.94999,             0.97018,             0.64845,            0.020984,            0.020127,                   0,              0.0067,              0.0067,              0.0067
                  57,            0.025384,           0.0082063,                   0,                 0.9,             0.94497,             0.94881,             0.62104,            0.023296,            0.021775,                   0,             0.00664,             0.00664,             0.00664
                  58,            0.026376,           0.0083204,                   0,             0.93298,             0.90493,             0.94636,             0.61743,             0.02206,             0.02275,                   0,             0.00658,             0.00658,             0.00658
                  59,            0.026435,           0.0084178,                   0,             0.85575,                0.92,             0.93951,             0.59506,            0.023839,            0.024679,                   0,             0.00652,             0.00652,             0.00652
                  60,            0.025526,           0.0078666,                   0,             0.92336,               0.905,             0.95632,             0.64594,            0.021463,            0.021661,                   0,             0.00646,             0.00646,             0.00646
                  61,            0.025561,           0.0077514,                   0,             0.89839,                0.93,             0.93928,              0.6219,            0.024212,            0.022607,                   0,              0.0064,              0.0064,              0.0064
                  62,             0.02515,            0.008389,                   0,             0.89173,                0.95,             0.95603,             0.64388,            0.021983,            0.021672,                   0,             0.00634,             0.00634,             0.00634
                  63,            0.025763,           0.0082138,                   0,             0.91822,               0.955,             0.95928,             0.63926,            0.022535,             0.02088,                   0,             0.00628,             0.00628,             0.00628
                  64,            0.024883,           0.0081294,                   0,             0.91453,                0.91,             0.93586,             0.62736,            0.023275,            0.021237,                   0,             0.00622,             0.00622,             0.00622
                  65,            0.025064,           0.0079498,                   0,             0.88526,               0.965,             0.95235,             0.62801,            0.023017,            0.019488,                   0,             0.00616,             0.00616,             0.00616
                  66,            0.024852,           0.0077059,                   0,             0.90998,                0.91,             0.94231,             0.63255,            0.023322,            0.022138,                   0,              0.0061,              0.0061,              0.0061
                  67,            0.024637,           0.0080816,                   0,             0.90857,               0.945,             0.94368,             0.60607,            0.022403,            0.022348,                   0,             0.00604,             0.00604,             0.00604
                  68,            0.024874,           0.0078864,                   0,             0.92572,               0.935,             0.95439,             0.62904,             0.02246,            0.021454,                   0,             0.00598,             0.00598,             0.00598
                  69,            0.024692,            0.007969,                   0,             0.91705,             0.93973,             0.96437,             0.65311,            0.021213,            0.020609,                   0,             0.00592,             0.00592,             0.00592
                  70,            0.024243,           0.0075926,                   0,             0.91303,             0.94484,             0.96157,             0.62061,            0.022727,            0.022027,                   0,             0.00586,             0.00586,             0.00586
                  71,            0.024751,           0.0077975,                   0,             0.91217,             0.93473,             0.95124,             0.61995,            0.022379,            0.021099,                   0,              0.0058,              0.0058,              0.0058
                  72,            0.023834,            0.007417,                   0,             0.91579,               0.925,             0.94517,             0.58917,            0.022689,            0.021907,                   0,             0.00574,             0.00574,             0.00574
                  73,            0.023863,            0.007741,                   0,             0.89661,               0.955,             0.94747,             0.63619,            0.021787,            0.021718,                   0,             0.00568,             0.00568,             0.00568
                  74,            0.024522,           0.0078915,                   0,              0.9043,             0.94492,              0.9456,             0.58638,             0.02477,            0.022403,                   0,             0.00562,             0.00562,             0.00562
                  75,            0.024184,           0.0075652,                   0,             0.93833,               0.915,             0.95453,             0.63626,            0.021424,             0.02006,                   0,             0.00556,             0.00556,             0.00556
                  76,            0.023911,           0.0076393,                   0,             0.92233,             0.94998,             0.95146,             0.62736,            0.022999,            0.022066,                   0,              0.0055,              0.0055,              0.0055
                  77,            0.023664,           0.0075489,                   0,             0.92394,               0.925,             0.95307,             0.62749,            0.022695,            0.021979,                   0,             0.00544,             0.00544,             0.00544
                  78,            0.023233,           0.0075446,                   0,             0.92332,               0.905,             0.95368,             0.60281,            0.023838,            0.022822,                   0,             0.00538,             0.00538,             0.00538
                  79,            0.023923,           0.0076814,                   0,             0.91707,             0.93997,             0.95997,             0.59134,            0.024483,            0.023076,                   0,             0.00532,             0.00532,             0.00532
                  80,            0.023655,           0.0074166,                   0,             0.92385,             0.90989,             0.93831,             0.59093,            0.023097,            0.023241,                   0,             0.00526,             0.00526,             0.00526
                  81,            0.024109,           0.0074619,                   0,             0.91667,             0.93499,             0.94675,             0.61051,            0.023198,            0.023255,                   0,              0.0052,              0.0052,              0.0052
                  82,            0.023108,           0.0071471,                   0,             0.91261,                0.94,             0.94671,             0.58827,            0.024389,             0.02471,                   0,             0.00514,             0.00514,             0.00514
                  83,            0.023758,           0.0075714,                   0,             0.89466,               0.935,             0.93503,             0.63166,            0.024219,            0.022928,                   0,             0.00508,             0.00508,             0.00508
                  84,            0.023498,           0.0075166,                   0,             0.91302,               0.945,             0.94769,             0.63167,            0.022349,            0.022882,                   0,             0.00502,             0.00502,             0.00502
                  85,            0.022924,            0.007224,                   0,             0.93467,             0.92999,             0.95422,              0.6303,            0.022903,            0.022805,                   0,             0.00496,             0.00496,             0.00496
                  86,            0.022766,           0.0072003,                   0,             0.91625,               0.935,             0.94579,             0.61269,            0.022547,            0.022114,                   0,              0.0049,              0.0049,              0.0049
                  87,            0.022909,           0.0072311,                   0,             0.93467,             0.92994,             0.94474,             0.63143,            0.022613,            0.022156,                   0,             0.00484,             0.00484,             0.00484
                  88,            0.022644,           0.0074107,                   0,              0.9043,             0.94498,             0.94698,             0.63838,            0.021602,            0.021009,                   0,             0.00478,             0.00478,             0.00478
                  89,            0.022892,           0.0072311,                   0,             0.93035,             0.93499,             0.95777,             0.63285,            0.021916,             0.02266,                   0,             0.00472,             0.00472,             0.00472
                  90,            0.022466,           0.0071826,                   0,             0.90865,             0.94495,             0.94526,             0.63776,            0.021426,            0.022302,                   0,             0.00466,             0.00466,             0.00466
                  91,            0.023274,           0.0070753,                   0,             0.91744,              0.9446,             0.95371,             0.64267,            0.022319,            0.021631,                   0,              0.0046,              0.0046,              0.0046
                  92,            0.022363,           0.0073213,                   0,             0.93999,             0.93987,             0.95856,             0.62891,            0.022124,            0.022217,                   0,             0.00454,             0.00454,             0.00454
                  93,            0.022509,           0.0068475,                   0,             0.92572,               0.935,             0.94534,             0.62858,            0.022321,            0.021464,                   0,             0.00448,             0.00448,             0.00448
                  94,            0.022442,           0.0070925,                   0,             0.92194,             0.94479,             0.94684,             0.61979,            0.022875,            0.021605,                   0,             0.00442,             0.00442,             0.00442
                  95,            0.022288,           0.0070555,                   0,             0.93689,              0.9649,             0.96871,              0.6345,            0.022528,             0.02244,                   0,             0.00436,             0.00436,             0.00436
                  96,            0.022497,           0.0070109,                   0,             0.94487,               0.945,             0.95553,             0.62645,            0.022408,            0.022597,                   0,              0.0043,              0.0043,              0.0043
                  97,            0.022017,           0.0070721,                   0,             0.92965,             0.92497,             0.94974,             0.61307,             0.02286,            0.022836,                   0,             0.00424,             0.00424,             0.00424
                  98,            0.021522,           0.0069332,                   0,             0.92788,             0.96498,             0.96729,             0.64602,            0.022114,            0.021978,                   0,             0.00418,             0.00418,             0.00418
                  99,            0.021894,           0.0069268,                   0,              0.9268,                0.95,             0.96318,              0.6357,            0.022126,             0.02164,                   0,             0.00412,             0.00412,             0.00412
                 100,            0.021731,           0.0066795,                   0,             0.92118,             0.93499,             0.95248,             0.62888,            0.022867,            0.023297,                   0,             0.00406,             0.00406,             0.00406
                 101,            0.021806,           0.0068048,                   0,             0.91651,               0.935,             0.95869,             0.61192,            0.022929,            0.023432,                   0,               0.004,               0.004,               0.004
                 102,            0.021837,           0.0068544,                   0,             0.92603,                0.94,             0.96397,             0.64283,            0.022253,            0.022722,                   0,             0.00394,             0.00394,             0.00394
                 103,            0.022412,           0.0068253,                   0,             0.93043,                0.94,             0.95822,             0.64434,            0.021817,            0.022747,                   0,             0.00388,             0.00388,             0.00388
                 104,            0.021538,           0.0067298,                   0,             0.94058,                0.95,             0.95929,             0.64842,            0.022241,             0.02214,                   0,             0.00382,             0.00382,             0.00382
                 105,             0.02079,           0.0065627,                   0,             0.94974,             0.94476,             0.96707,             0.62182,            0.022589,            0.021187,                   0,             0.00376,             0.00376,             0.00376
                 106,            0.021165,           0.0068651,                   0,             0.93529,                0.94,             0.95985,             0.61645,              0.0235,            0.024239,                   0,              0.0037,              0.0037,              0.0037
                 107,            0.021046,           0.0069645,                   0,               0.931,               0.945,             0.95577,             0.63254,            0.023404,            0.023556,                   0,             0.00364,             0.00364,             0.00364
                 108,            0.021115,           0.0066512,                   0,             0.91781,                0.95,             0.95628,             0.63936,            0.022494,              0.0233,                   0,             0.00358,             0.00358,             0.00358
                 109,            0.020785,           0.0069421,                   0,             0.93626,             0.95479,             0.95539,             0.63648,            0.021034,            0.022981,                   0,             0.00352,             0.00352,             0.00352
                 110,            0.021146,           0.0066333,                   0,             0.92753,             0.95994,             0.96195,             0.63042,            0.022022,            0.021192,                   0,             0.00346,             0.00346,             0.00346
                 111,            0.021257,            0.006617,                   0,             0.91815,               0.955,             0.95267,             0.60893,            0.023215,            0.022007,                   0,              0.0034,              0.0034,              0.0034
                 112,            0.020773,           0.0063709,                   0,              0.9227,             0.95496,             0.95027,             0.63391,            0.022456,            0.022568,                   0,             0.00334,             0.00334,             0.00334
                 113,            0.020851,            0.006636,                   0,             0.91206,               0.935,              0.9363,              0.6195,            0.022571,            0.023416,                   0,             0.00328,             0.00328,             0.00328
                 114,            0.020801,           0.0067961,                   0,             0.90774,               0.935,             0.95674,             0.63678,            0.022198,            0.021785,                   0,             0.00322,             0.00322,             0.00322
                 115,            0.020212,           0.0063497,                   0,             0.93924,                0.93,             0.97049,             0.64575,            0.022196,            0.022018,                   0,             0.00316,             0.00316,             0.00316
                 116,             0.02052,           0.0065947,                   0,             0.89401,             0.96999,             0.96658,             0.64967,            0.021569,            0.020609,                   0,              0.0031,              0.0031,              0.0031
                 117,            0.020259,           0.0063519,                   0,             0.93526,                0.94,              0.9572,             0.63071,             0.02233,            0.021411,                   0,             0.00304,             0.00304,             0.00304
                 118,             0.02018,            0.006258,                   0,             0.92611,             0.93999,             0.95758,             0.64128,            0.022488,            0.022365,                   0,             0.00298,             0.00298,             0.00298
                 119,            0.019911,           0.0064745,                   0,             0.91303,               0.945,             0.95443,             0.65318,            0.022031,            0.021972,                   0,             0.00292,             0.00292,             0.00292
                 120,            0.019827,           0.0066272,                   0,             0.92965,             0.92498,             0.95701,             0.62951,            0.023771,            0.023343,                   0,             0.00286,             0.00286,             0.00286
                 121,            0.019415,           0.0063738,                   0,             0.90586,               0.965,             0.95518,             0.64376,            0.022898,            0.020581,                   0,              0.0028,              0.0028,              0.0028
                 122,            0.020365,           0.0067087,                   0,             0.88934,               0.965,             0.95176,               0.636,            0.022653,            0.022056,                   0,             0.00274,             0.00274,             0.00274
                 123,            0.019789,           0.0063072,                   0,             0.94889,                0.93,               0.965,             0.62325,            0.022954,            0.022741,                   0,             0.00268,             0.00268,             0.00268
                 124,            0.020064,           0.0063674,                   0,             0.90579,               0.965,             0.95231,             0.62715,            0.022493,            0.021598,                   0,             0.00262,             0.00262,             0.00262
                 125,            0.019456,           0.0060327,                   0,             0.89193,                0.95,              0.9458,             0.64851,            0.022321,            0.021927,                   0,             0.00256,             0.00256,             0.00256
                 126,            0.019041,           0.0062112,                   0,             0.89992,             0.94415,              0.9464,             0.63719,            0.023007,            0.022359,                   0,              0.0025,              0.0025,              0.0025
                 127,            0.019677,           0.0064511,                   0,             0.91219,             0.93497,             0.95609,             0.63619,            0.023261,            0.022774,                   0,             0.00244,             0.00244,             0.00244
                 128,             0.01933,           0.0062602,                   0,               0.917,                0.94,             0.94749,             0.65178,            0.022512,            0.021683,                   0,             0.00238,             0.00238,             0.00238
                 129,            0.019025,           0.0061603,                   0,              0.9303,               0.935,             0.93925,             0.63304,            0.022152,            0.021443,                   0,             0.00232,             0.00232,             0.00232
                 130,            0.019103,           0.0060658,                   0,             0.90995,             0.95994,             0.94777,             0.64179,            0.022373,            0.022406,                   0,             0.00226,             0.00226,             0.00226
                 131,            0.019207,           0.0061265,                   0,              0.9013,                0.96,             0.94665,             0.63479,            0.022707,            0.023653,                   0,              0.0022,              0.0022,              0.0022
                 132,            0.019135,           0.0061227,                   0,             0.93069,             0.93999,             0.94623,              0.6449,            0.022513,            0.022987,                   0,             0.00214,             0.00214,             0.00214
                 133,            0.019048,           0.0062112,                   0,             0.90141,             0.95999,             0.94839,             0.62435,             0.02293,            0.023568,                   0,             0.00208,             0.00208,             0.00208
                 134,            0.018694,           0.0060113,                   0,             0.92712,               0.955,             0.95506,             0.63452,            0.022771,            0.022787,                   0,             0.00202,             0.00202,             0.00202
                 135,            0.018995,           0.0063119,                   0,             0.92174,               0.945,             0.95285,             0.64736,            0.022509,            0.021595,                   0,             0.00196,             0.00196,             0.00196
                 136,            0.018638,           0.0060942,                   0,             0.92308,                0.96,             0.95938,             0.63517,            0.022709,             0.02177,                   0,              0.0019,              0.0019,              0.0019
                 137,            0.018761,            0.006143,                   0,             0.91859,                0.96,             0.95251,              0.6361,            0.023063,            0.022037,                   0,             0.00184,             0.00184,             0.00184
                 138,            0.018615,           0.0061488,                   0,             0.91384,             0.95461,              0.9539,             0.64549,            0.022426,            0.021204,                   0,             0.00178,             0.00178,             0.00178
                 139,            0.018442,           0.0059594,                   0,             0.92999,                0.93,             0.95427,             0.64257,            0.022695,             0.02301,                   0,             0.00172,             0.00172,             0.00172
                 140,            0.018957,           0.0062007,                   0,             0.93496,               0.935,             0.95328,             0.63605,            0.022549,            0.022648,                   0,             0.00166,             0.00166,             0.00166
                 141,            0.018407,           0.0061109,                   0,             0.93564,             0.94497,             0.95652,              0.6379,            0.022985,            0.023259,                   0,              0.0016,              0.0016,              0.0016
                 142,            0.017842,           0.0059479,                   0,              0.9094,               0.955,             0.94872,             0.63651,            0.023382,            0.023766,                   0,             0.00154,             0.00154,             0.00154
                 143,            0.018236,           0.0057928,                   0,                0.95,             0.94996,             0.95611,             0.63607,            0.022707,            0.022777,                   0,             0.00148,             0.00148,             0.00148
                 144,            0.018166,           0.0059209,                   0,             0.93562,               0.945,             0.96092,             0.65119,            0.022515,            0.023094,                   0,             0.00142,             0.00142,             0.00142
                 145,            0.018193,           0.0058894,                   0,             0.93532,             0.93999,             0.95506,             0.63322,            0.022933,            0.023576,                   0,             0.00136,             0.00136,             0.00136
                 146,            0.017668,           0.0056652,                   0,             0.92195,               0.945,             0.94823,             0.63282,            0.022918,             0.02381,                   0,              0.0013,              0.0013,              0.0013
                 147,            0.017762,           0.0057007,                   0,             0.92718,             0.95495,              0.9541,             0.63201,            0.023296,             0.02274,                   0,             0.00124,             0.00124,             0.00124
                 148,            0.018157,           0.0059847,                   0,             0.95406,               0.935,             0.95804,             0.64798,            0.022588,            0.021476,                   0,             0.00118,             0.00118,             0.00118
                 149,             0.01747,           0.0059328,                   0,             0.94029,             0.94482,              0.9569,             0.64412,            0.022883,            0.021966,                   0,             0.00112,             0.00112,             0.00112
